filename,reference_filename,sentence_id,speaker_id,gender,device,distance_m,noise_level_db,pesq,snr_global_db,snr_segmental_db,snr_aweighted_db,stoi,correlation,alignment_shift_ms,alignment_correlation,success,error,processing_time_sec
pa_S16_f2_female_IPDp11_na_4m_90_east_57db_0_B.wav,pa_S16_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S16,F2,female,IPDp11,4,57.0,1.2479764223098755,-2.4263683996425964,-2.808244028753296,-2.424807911161882,0.6492167991923808,0.10114653382251844,-10.9375,0.18070826,True,,0.2500123977661133
pa_S17_f2_female_IP15_na_2m_90_east_57db_0_B.wav,pa_S17_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S17,F2,female,IP15,2,57.0,1.4068228006362915,-2.6166679319984594,-3.260412976570175,-2.616093894455404,0.6911522960820515,0.07749442007461389,63.3125,0.41383207,True,,0.6371710300445557
pa_S17_f2_female_IPDp11_na_4m_90_east_57db_0_B.wav,pa_S17_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S17,F2,female,IPDp11,4,57.0,1.3644545078277588,-2.4287347187892507,-3.3174364044322977,-2.427611672469871,0.6681609967552392,0.11851254416229641,155.5625,0.25376076,True,,0.5637030601501465
pa_S18_f2_female_IP15_na_2m_90_east_57db_0_B.wav,pa_S18_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S18,F2,female,IP15,2,57.0,1.34307062625885,-2.709643721909192,-3.3817522066696437,-2.708457518842444,0.6515713613494939,0.0530863030106106,147.375,0.39994258,True,,0.39744091033935547
pa_S18_f2_female_IPDp11_na_4m_90_east_57db_0_B.wav,pa_S18_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S18,F2,female,IPDp11,4,57.0,1.3015633821487427,-2.5084252482765774,-3.2285310817761204,-2.506834419729485,0.6481989973539423,0.10192441781047078,152.8125,0.26664844,True,,0.595522403717041
pa_S19_f2_female_IP15_na_2m_90_east_57db_0_B.wav,pa_S19_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S19,F2,female,IP15,2,57.0,1.237406849861145,-2.7418712080365686,-3.6992083408725605,-2.740361981286028,0.6799233727398731,0.1449041155322525,77.4375,0.44500473,True,,0.7668390274047852
pa_S19_f2_female_IPDp11_na_4m_90_east_57db_0_B.wav,pa_S19_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S19,F2,female,IPDp11,4,57.0,1.286909818649292,-2.7736081936446224,-4.349128088194738,-2.7715555927714446,0.673811984152755,0.1055406862888211,106.875,0.26503402,True,,0.8611927032470703
pa_S20_f2_female_IP15_na_2m_90_east_57db_0_B.wav,pa_S20_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S20,F2,female,IP15,2,57.0,1.3237663507461548,-2.872524743281658,-3.8541223329400314,-2.871625093969331,0.709548758553669,0.024094757078295476,87.5,0.43312252,True,,0.5152952671051025
pa_S20_f2_female_IPDp11_na_4m_90_east_57db_0_B.wav,pa_S20_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S20,F2,female,IPDp11,4,57.0,1.3290648460388184,-2.344171186271677,-4.00716756143521,-2.342013366431794,0.6952378396791452,0.12790679667936786,151.25,0.30420116,True,,0.5879735946655273
pa_S21_f2_female_IP15_na_2m_90_east_57db_0_B.wav,pa_S21_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S21,F2,female,IP15,2,57.0,1.3579148054122925,-2.6918675389694933,-3.6432778447254757,-2.6907198204398957,0.7070640727627356,0.05775536500231074,76.25,0.3616678,True,,0.49590587615966797
pa_S21_f2_female_IPDp11_na_4m_90_east_57db_0_B.wav,pa_S21_f2_female_IP14p_na_1m_90_east_57db_0_B.wav,S21,F2,female,IPDp11,4,57.0,1.3887324333190918,-2.30140087100089,-4.0024208628103315,-2.2990543088669972,0.7101281193269425,0.13053345835508895,97.6875,0.30631617,True,,0.6109743118286133
pa_S22_f2_female_IP15_na_2m_90_east_57db_0_B.wav,pa_S22_f2_female_IP14p_na_1m_90_east_57db_0_B.wav.wav,S22,F2,female,IP15,2,57.0,1.38041090965271,-2.9191802691419393,-3.9091661326215115,-2.9185474429361364,0.7138989480815284,0.00041463738217071633,2.3125,0.39221695,True,,0.4053947925567627
pa_S22_f2_female_IPDp11_na_4m_90_east_57db_0_B.wav,pa_S22_f2_female_IP14p_na_1m_90_east_57db_0_B.wav.wav,S22,F2,female,IPDp11,4,57.0,1.3338098526000977,-2.0970318672152604,-3.790618435403771,-2.0954114534845454,0.6988455441167808,0.15851752265730384,130.125,0.31543297,True,,0.37416601181030273
